Index,Alphabet,Link,ScrapeStatus
702,b,https://www.hindigeetmala.net/singer/bedam_warsi.php,Done
704,b,https://www.hindigeetmala.net/singer/bhai_mahinder_jeet_singh.php,Done
706,b,https://www.hindigeetmala.net/singer/bharti.php,Done
708,b,https://www.hindigeetmala.net/singer/bhavna_shah.php,Done
710,b,https://www.hindigeetmala.net/singer/bhishak_jyoti.php,Done
712,b,https://www.hindigeetmala.net/singer/bhupesh_singh.php,Done
714,b,https://www.hindigeetmala.net/singer/bhupinder_soni.php,Done
716,b,https://www.hindigeetmala.net/singer/bickram_ghosh.php,Done
718,b,https://www.hindigeetmala.net/singer/binjoo_ali.php,Done
720,c,https://www.hindigeetmala.net/singer/chandrani_mukherjee.php,Done
722,c,https://www.hindigeetmala.net/singer/chitalkar_ramchandra.php,Done
724,c,https://www.hindigeetmala.net/singer/chitra_singh.php,Done
726,c,https://www.hindigeetmala.net/singer/chithra_k_s.php,Done
728,c,https://www.hindigeetmala.net/singer/clinton_cerejo.php,Done
730,c,https://www.hindigeetmala.net/singer/c_h_atma.php,Done
732,c,https://www.hindigeetmala.net/singer/chandan_dass.php,Done
734,c,https://www.hindigeetmala.net/singer/caralisa_monteiro.php,Done
736,c,https://www.hindigeetmala.net/singer/chitragupt.php,Done
738,c,https://www.hindigeetmala.net/singer/chandana_dixit.php,Done
740,c,https://www.hindigeetmala.net/singer/charlie.php,Done
742,c,https://www.hindigeetmala.net/singer/chhote_majid_shola.php,Done
744,c,https://www.hindigeetmala.net/singer/c_ramchandra.php,Done
746,c,https://www.hindigeetmala.net/singer/chaitanya_bhosle.php,Done
748,c,https://www.hindigeetmala.net/singer/chetan.php,Done
750,c,https://www.hindigeetmala.net/singer/chandbala.php,Done
752,c,https://www.hindigeetmala.net/singer/chhaya_ganguli.php,Done
754,c,https://www.hindigeetmala.net/singer/chinmayi.php,Done
756,c,https://www.hindigeetmala.net/singer/coshish.php,Done
758,c,https://www.hindigeetmala.net/singer/chinmayi_sripada.php,Done
760,c,https://www.hindigeetmala.net/singer/chaya_ganguly.php,Done
762,c,https://www.hindigeetmala.net/singer/chayan_adhikari.php,Done
764,c,https://www.hindigeetmala.net/singer/chandana_bala.php,Done
766,c,https://www.hindigeetmala.net/singer/chandrashekhar_gadgil.php,Done
768,c,https://www.hindigeetmala.net/singer/chin2_bhosle.php,Done
770,c,https://www.hindigeetmala.net/singer/chirantan_bhatt.php,Done
772,c,https://www.hindigeetmala.net/singer/chitra_sen.php,Done
774,c,https://www.hindigeetmala.net/singer/chaitanya_chint2_bhosle.php,Done
776,c,https://www.hindigeetmala.net/singer/chetan_shashital.php,Done
778,c,https://www.hindigeetmala.net/singer/chhannulal_mishra.php,Done
780,c,https://www.hindigeetmala.net/singer/chinna_ponnu.php,Done
782,c,https://www.hindigeetmala.net/singer/chandrachur_singh.php,Done
784,c,https://www.hindigeetmala.net/singer/chandu_shivdasani.php,Done
786,c,https://www.hindigeetmala.net/singer/charu_moohan.php,Done
788,c,https://www.hindigeetmala.net/singer/chaudhari.php,Done
790,c,https://www.hindigeetmala.net/singer/chethan_naik.php,Done
792,c,https://www.hindigeetmala.net/singer/chinmayee.php,Done
794,c,https://www.hindigeetmala.net/singer/chittaranjan_tripathy.php,Done
796,c,https://www.hindigeetmala.net/singer/chunnilal_pardesi.php,Done
798,c,https://www.hindigeetmala.net/singer/colonial_cousins.php,Done
800,c,https://www.hindigeetmala.net/singer/call_the_band.php,Done
802,c,https://www.hindigeetmala.net/singer/carl.php,Done
804,c,https://www.hindigeetmala.net/singer/chandan_roy_chaudhari.php,Done
